timetable_id,route_id,direction_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday,route_label,service_notes,direction_label,orientation
44,291,0,20170206,20180101,1,1,1,1,1,0,0,Redmond-Prineville,Starting 2-6-2017,Eastbound,horizontal
45,291,1,20170206,20180101,1,1,1,1,1,0,0,Redmond-Prineville,Starting 2-6-2017,Westbound,horizontal
46,715,0,20161212,20171130,0,0,0,0,0,1,0,Reed Market-Wells Acres,Route 6 - Construction Detour,No direction,horizontal
47,715,0,20161212,20171130,1,1,1,1,1,0,0,Reed Market-Wells Acres,Route 6 - Construction Detour,No direction,horizontal
48,715,0,20171201,20180101,0,0,0,0,0,1,0,Reed Market-Wells Acres,Route 6 - Normal Routing,No direction,horizontal
49,715,0,20171201,20180101,1,1,1,1,1,0,0,Reed Market-Wells Acres,Route 6 - Normal Routing,No direction,horizontal
50,5917,0,20170206,20180101,1,1,1,1,1,0,0,Sister-Bend,Starting 2-6-2017,No direction,horizontal
51,382,0,20170101,20170205,1,1,1,1,1,0,0,Sisters-Redmond,Ending 2-5-2017,No direction,horizontal
52,382,0,20170206,20180101,1,1,1,1,1,0,0,Sisters-Redmond,Starting 2-6-2017,No direction,horizontal
53,710,0,20140101,20180101,0,0,0,0,0,1,0,South 3rd Street,Year Round Service,Outbound ,horizontal
54,710,0,20140101,20180101,1,1,1,1,1,0,0,South 3rd Street,Year Round Service,Outbound ,horizontal
55,710,1,20140101,20180101,0,0,0,0,0,1,0,South 3rd Street,Year Round Service,Inbound,horizontal
56,710,1,20140101,20180101,1,1,1,1,1,0,0,South 3rd Street,Year Round Service,Inbound,horizontal
57,3225,0,20140101,20180101,1,1,1,1,1,0,0,Warm Springs-Madras,Year Round Service,No direction,horizontal
58,714,0,20140101,20180101,0,0,0,0,0,1,0,Wells Acres-Reed Market,Year Round Service,No direction,horizontal
59,714,0,20140101,20180101,1,1,1,1,1,0,0,Wells Acres-Reed Market,Year Round Service,No direction,horizontal
